Input name	Standardized name	Formula	Exact mass	Super class	Main class	Sub class	PubChem_CID	ChEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	RefMet_ID
TAG(50:8)-13C2	TG 50:8	C53H86O6	818.6424	Glycerolipids	Triradylglycerols	TAG							RM0134256
TAG(54:3)-13C1	TG 54:3	C57H104O6	884.7833	Glycerolipids	Triradylglycerols	TAG							RM0134218
taurine	Taurine	C2H7NO3S	125.0147	Organic acids	Sulfonic acids	Sulfonic acids	1123	15891	HMDB0000251		C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N	RM0118223
taurocholate	Taurocholic acid	C26H45NO7S	515.2917	Sterol Lipids	Bile acids	C24 Bile acids	6675	28865	HMDB0000036	LMST05040001	C05122	WBWWGRHZICKQGZ-HZAMXZRMSA-N	RM0033602
TG(16:1_17:0_18:1)	TG 16:1_17:0_18:1	C54H100O6	844.7520	Glycerolipids	Triradylglycerols	TAG							RM0073443
TG(aaa-52:7)	TG 52:7	C55H92O6	848.6894	Glycerolipids	Triradylglycerols	TAG							RM0134292
Trilauroyl-glycerol	TG 14:0/14:0/14:0	C45H86O6	722.6424	Glycerolipids	Triradylglycerols	TAG	11148	77391	HMDB0042061	LMGL03012616		DUXYWXYOBMKGIN-UHFFFAOYSA-N	RM0087240
urate	Uric acid	C5H4N4O3	168.0283	Nucleic acids	Purines	Xanthines	1175	17775	HMDB0000289		C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N	RM0160856
xanthine	Xanthine	C5H4N4O2	152.0334	Nucleic acids	Purines	Xanthines	1188	17712	HMDB0000292		C00385	LRFVTYWOQMYALW-UHFFFAOYSA-N	RM0135930
xylonate	Xylonic acid	C5H10O6	166.0477	Carbohydrates	Monosaccharides	Sugar acids	6602431	48093	HMDB0059750		C00502	QXKAIJAYHKCRRA-FLRLBIABSA-N	RM0155885
HMDB0000012	Deoxyuridine	C9H12N2O5	228.0746	Nucleic acids	Pyrimidines	Pyrimidine deoxyribonucleosides	13712	16450	HMDB0000012		C00526	MXHRCPNRJAMMIM-SHYZEUOFSA-N	RM0138920
99463	NA-Gly 6:0	C8H15NO3	173.1052	Fatty Acyls	Fatty amides	N-acyl amines	99463	64390	HMDB0000701			UPCKIPHSXMXJOX-UHFFFAOYSA-N	RM0153690
C00152	Asparagine	C4H8N2O3	132.0535	Organic acids	Amino acids and peptides	Amino acids	6267	17196	HMDB0000168		C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N	RM0135724
LMFA03010001	6-Keto-PGF1alpha	C20H34O6	370.2355	Fatty Acyls	Eicosanoids	Prostaglandins	5280888	28158	HMDB0002886	LMFA03010001	C05961	KFGOFTHODYBSGM-ZUNNJUQCSA-N	RM0152309
CHEBI:23966	Estrane	C18H30	246.2348	Sterol Lipids	Steroids	C18 Steroids	5460658	23966	HMDB0251974	LMST02010000		GRXPVLPQNMUNNX-MHJRRCNVSA-N	RM0137015
GTZCVFVGUGFEME-IWQZZHSRSA-N	cis-Aconitic acid	C6H6O6	174.0164	Organic acids	TCA acids	TCA acids	643757	32805	HMDB0000072		C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N	RM0021619
